admin2_idx,n_samples,r2_full,r2_no_energy,r2_no_surface,r2_no_root,delta_energy,delta_surface,delta_root,max_delta,dominance_class,koppen_id,koppen_name,total_mismatch_freq,risk_class,avg_production
485,791,0.2379832101070373,0.2015883837694114,0.2446523670234687,0.2314351194297356,0.0363948263376259,0.0,0.0065480906773017,0.0363948263376259,2,3,Desert,,,458.077358490566
486,816,-0.0400819077134411,-0.1743056733853647,-0.1464737144331898,0.1437111405931442,0.1342237656719236,0.1063918067197486,0.0,0.1342237656719236,0,3,Desert,0.001834862385321101,0.0,377.3
487,1008,0.0742123036346864,-0.0498164414970485,0.0523168649516762,0.1049821313836226,0.124028745131735,0.0218954386830102,0.0,0.124028745131735,2,3,Desert,,,
490,390,0.1055055504559105,-0.0372403504286289,0.0336311012735544,0.1517783351042509,0.1427459008845395,0.0718744491823561,0.0,0.1427459008845395,2,3,Desert,,,917.1435710375001
528,1051,0.4419652534795414,0.3793471433072637,0.4309788716716632,0.2120721767081224,0.0626181101722777,0.0109863818078781,0.229893076771419,0.229893076771419,1,3,Desert,0.03682282629651051,0.0,40455.516766448265
539,196,-0.4951891657428107,-0.6416498248035742,-0.4643473230280861,-0.2517113372622461,0.1464606590607635,0.0,0.0,0.1464606590607635,0,3,Desert,0.0,0.0,231.01845556818577
540,163,0.0275144783316386,0.0740020639693997,0.041018441264497,-0.3712802719615971,0.0,0.0,0.3987947502932357,0.3987947502932357,0,3,Desert,,,44.886322044334975
542,163,-0.4343771805339662,-0.0964127924274376,-0.6148180830259962,-0.5531927574742534,0.0,0.1804409024920299,0.1188155769402872,0.1804409024920299,0,3,Desert,0.0,0.0,324.59943051201674
543,252,-0.9737530654145106,-1.416658790879444,-1.242149419301398,-0.0790194230325453,0.4429057254649335,0.2683963538868874,0.0,0.4429057254649335,0,3,Desert,0.00039824771007566706,0.0,
544,205,-1.4443941033836944,-1.2736114292632892,-1.650682079475852,-0.5267235577819271,0.0,0.2062879760921574,0.0,0.2062879760921574,0,3,Desert,,,465.29848844472207
545,940,0.2972341094635161,0.1797079952812753,0.2671679488500559,0.233521692065754,0.1175261141822407,0.0300661606134602,0.0637124173977621,0.1175261141822407,2,3,Desert,0.0075993091537132984,0.0,428.56872787840933
546,967,0.2039725046746257,0.1474019285800168,0.1665739226465704,0.1754284809377047,0.0565705760946088,0.0373985820280552,0.0285440237369209,0.0565705760946088,2,3,Desert,0.04905008635578584,0.0,222.6159322960982
547,913,0.3640549739317479,0.1923405876158481,0.3208638877634078,0.2955535700179308,0.1717143863158997,0.0431910861683401,0.0685014039138171,0.1717143863158997,2,3,Desert,0.022452504317789293,0.0,119.31777231714285
548,779,0.3166431830010865,0.2334090205863794,0.2662920674904762,0.3066950260183989,0.083234162414707,0.0503511155106103,0.0099481569826875,0.083234162414707,2,3,Desert,0.0019738465334320256,0.0,620.5154135285713
549,925,0.2291332792857756,0.1398203445841082,0.2155323989926237,0.1769185871496192,0.0893129347016674,0.0136008802931518,0.0522146921361563,0.0893129347016674,2,3,Desert,0.02541327411793733,0.0,
550,725,0.3388777266655327,0.2102629766246863,0.2782899636885585,0.3224711980132608,0.1286147500408464,0.0605877629769742,0.0164065286522718,0.1286147500408464,2,3,Desert,,,
551,944,0.2471657535450401,0.1456521717390531,0.2128071122684781,0.2058487269544339,0.101513581805987,0.0343586412765619,0.0413170265906062,0.101513581805987,2,3,Desert,,,12.959999999999999
566,833,0.3649141437166844,0.1978506873678904,0.3151066809473534,0.2371108487866472,0.1670634563487939,0.049807462769331,0.1278032949300371,0.1670634563487939,2,3,Desert,,,
567,721,0.2441977521746432,0.1840432867696387,0.2343329496895221,0.1514956170135086,0.0601544654050044,0.0098648024851211,0.0927021351611345,0.0927021351611345,1,3,Desert,,,53.56008437477778
569,759,0.3060961726711462,0.1832332731742769,0.3005831182825266,0.2257263792145953,0.1228628994968692,0.0055130543886195,0.0803697934565508,0.1228628994968692,2,3,Desert,,,1050.5344444444445
571,705,0.2711081529003178,0.1364902773667503,0.2451785472709453,0.1876132279321083,0.1346178755335675,0.0259296056293725,0.0834949249682095,0.1346178755335675,2,3,Desert,,,39.83833333333333
574,513,0.2929649377891812,0.1517834209107496,0.2673775576719671,0.1674659269745689,0.1411815168784316,0.025587380117214,0.1254990108146122,0.1411815168784316,4,3,Desert,,,661.1728278436944
